"Command to create Don's list: select moller_quality.run, run_start, quality, task, comment from moller_quality, moller_settings  where moller_settings.run=moller_quality.run and task='pol'and quality='good' order by moller_quality.run;",,,,
run,run_start,quality,task,comment
17648,8/26/19 15:24,good,pol,
17649,8/26/19 15:26,good,pol,
17650,8/26/19 15:29,good,pol,
17651,8/26/19 15:37,good,pol,
17652,8/26/19 15:40,good,pol,
17653,8/26/19 15:42,good,pol,
17654,8/26/19 15:45,good,pol,
17655,8/26/19 15:47,good,pol,
17656,8/26/19 15:50,good,pol,
17657,8/26/19 15:52,good,pol,
17658,8/26/19 15:55,good,pol,
17659,8/26/19 15:58,good,pol,
17660,8/26/19 16:00,good,pol,
17661,8/26/19 16:03,good,pol,
17662,8/26/19 16:05,good,pol,
17663,8/26/19 16:07,good,pol,
17664,8/26/19 16:09,good,pol,
17665,8/26/19 16:11,good,pol,
17666,8/26/19 16:14,good,pol,
17667,8/26/19 16:18,good,pol,
17668,8/26/19 16:20,good,pol,
17669,8/26/19 16:23,good,pol,
17670,8/26/19 16:25,good,pol,
17671,8/26/19 16:27,good,pol,
17672,8/26/19 16:31,good,pol,
17673,8/26/19 16:33,good,pol,
17674,8/26/19 16:37,good,pol,
17675,8/26/19 16:39,good,pol,
17676,8/26/19 16:43,good,pol,
17694,8/26/19 17:58,good,pol,
17695,8/26/19 18:02,good,pol,
17696,8/26/19 18:08,good,pol,
17697,8/26/19 18:10,good,pol,
17698,8/26/19 18:12,good,pol,
17699,8/26/19 18:14,good,pol,
17700,8/26/19 18:16,good,pol,
17701,8/26/19 18:19,good,pol,
17702,8/26/19 18:21,good,pol,
17703,8/26/19 18:23,good,pol,
17704,8/26/19 18:25,good,pol,
17705,8/26/19 18:27,good,pol,
17706,8/26/19 18:29,good,pol,
17707,8/26/19 18:32,good,pol,
17708,8/26/19 18:42,good,pol,
17709,8/26/19 18:45,good,pol,
17710,8/26/19 18:47,good,pol,
17711,8/26/19 18:50,good,pol,
17712,8/26/19 18:52,good,pol,
17713,8/26/19 18:54,good,pol,
17714,8/26/19 18:56,good,pol,
17715,8/26/19 18:59,good,pol,
17716,8/26/19 19:01,good,pol,
17717,8/26/19 19:03,good,pol,
17718,8/26/19 19:06,good,pol,
17719,8/26/19 19:08,good,pol,
17788,8/31/19 12:45,good,pol,
17789,8/31/19 12:47,good,pol,
17790,8/31/19 12:49,good,pol,
17791,8/31/19 12:52,good,pol,
17792,8/31/19 12:54,good,pol,
17793,8/31/19 12:56,good,pol,
17794,8/31/19 12:58,good,pol,
17795,8/31/19 13:01,good,pol,
17796,8/31/19 13:03,good,pol,
17797,8/31/19 13:06,good,pol,
17798,8/31/19 13:08,good,pol,
17799,8/31/19 13:10,good,pol,
17800,8/31/19 13:12,good,pol,
17801,8/31/19 13:14,good,pol,
17802,8/31/19 13:17,good,pol,
17803,8/31/19 13:19,good,pol,
17804,8/31/19 13:21,good,pol,
17807,8/31/19 13:30,good,pol,
17808,8/31/19 13:33,good,pol,
17809,8/31/19 13:35,good,pol,
17810,8/31/19 13:37,good,pol,
17811,8/31/19 13:39,good,pol,
17812,8/31/19 13:42,good,pol,
17813,8/31/19 13:44,good,pol,
17814,8/31/19 13:46,good,pol,
17815,8/31/19 13:48,good,pol,
17816,8/31/19 13:50,good,pol,
17817,8/31/19 13:53,good,pol,
17818,8/31/19 13:55,good,pol,
17819,8/31/19 13:57,good,pol,
17820,8/31/19 13:59,good,pol,
17821,8/31/19 14:01,good,pol,
17822,8/31/19 14:03,good,pol,
17831,8/31/19 15:13,good,pol,
17832,8/31/19 15:15,good,pol,
17833,8/31/19 15:18,good,pol,
17834,8/31/19 15:20,good,pol,
17835,8/31/19 15:22,good,pol,
17836,8/31/19 15:24,good,pol,
17837,8/31/19 15:27,good,pol,
17838,8/31/19 15:31,good,pol,
17839,8/31/19 15:33,good,pol,
17840,8/31/19 15:35,good,pol,
17841,8/31/19 15:37,good,pol,
17842,8/31/19 15:40,good,pol,
17843,8/31/19 15:42,good,pol,
17844,8/31/19 15:44,good,pol,
17845,8/31/19 15:47,good,pol,
17846,8/31/19 15:49,good,pol,
17847,8/31/19 15:51,good,pol,
17848,8/31/19 15:53,good,pol,
17849,8/31/19 15:55,good,pol,
17850,8/31/19 15:57,good,pol,
17851,8/31/19 16:00,good,pol,
17852,8/31/19 16:02,good,pol,
17853,8/31/19 16:04,good,pol,
17854,8/31/19 16:06,good,pol,
17855,8/31/19 16:09,good,pol,
17856,8/31/19 16:11,good,pol,
17857,8/31/19 16:19,good,pol,
17858,8/31/19 16:21,good,pol,
17859,8/31/19 16:23,good,pol,
17860,8/31/19 16:26,good,pol,
17861,8/31/19 16:28,good,pol,
17862,8/31/19 16:30,good,pol,
17863,8/31/19 16:32,good,pol,
17864,8/31/19 16:35,good,pol,
17865,8/31/19 16:37,good,pol,
17866,8/31/19 16:39,good,pol,
17867,8/31/19 16:41,good,pol,
17868,8/31/19 16:43,good,pol,
17869,8/31/19 16:46,good,pol,
17870,8/31/19 16:48,good,pol,
17871,8/31/19 16:50,good,pol,
17872,8/31/19 16:52,good,pol,
17873,8/31/19 16:54,good,pol,
17874,8/31/19 16:57,good,pol,
17875,8/31/19 16:59,good,pol,
17876,8/31/19 17:01,good,pol,
17877,8/31/19 17:04,good,pol,
17878,8/31/19 17:06,good,pol,
17879,8/31/19 17:08,good,pol,
17880,8/31/19 17:10,good,pol,
17881,8/31/19 17:12,good,pol,
17882,8/31/19 17:14,good,pol,
17928,beam_pol,NULL,,
17929,beam_pol,NULL,,
17930,beam_pol,NULL,,
17931,beam_pol,NULL,,
17932,beam_pol,NULL,,
17933,beam_pol,NULL,,
17934,beam_pol,NULL,,
17935,beam_pol,NULL,,
17936,beam_pol,NULL,,
17937,beam_pol,NULL,,
17938,beam_pol,NULL,,
17939,beam_pol,NULL,,
17940,beam_pol,NULL,,
17941,beam_pol,NULL,,
17942,beam_pol,NULL,,
17943,beam_pol,NULL,,
17944,beam_pol,NULL,,
17945,beam_pol,NULL,,
17946,beam_pol,NULL,,
17947,beam_pol,NULL,,
17948,beam_pol,NULL,,
17949,beam_pol,NULL,,
17950,beam_pol,NULL,,
17951,beam_pol,NULL,,
17952,beam_pol,NULL,,
17953,beam_pol,NULL,,
17954,beam_pol,NULL,,
17955,beam_pol,NULL,,
17956,beam_pol,NULL,,
17957,beam_pol,NULL,,
17958,beam_pol,NULL,,
17959,beam_pol,NULL,,
17960,beam_pol,NULL,,
17961,beam_pol,NULL,,
17962,beam_pol,NULL,,
17963,beam_pol,NULL,,
17964,beam_pol,NULL,,
17965,beam_pol,NULL,,
17966,beam_pol,NULL,,
17967,beam_pol,NULL,,
17968,beam_pol,NULL,,
17969,beam_pol,NULL,,
17970,beam_pol,NULL,,
17971,beam_pol,NULL,,
17972,beam_pol,NULL,,
17973,beam_pol,NULL,,
17974,beam_pol,NULL,,
17975,beam_pol,NULL,,
17976,beam_pol,NULL,,
17977,beam_pol,NULL,,
17986,8/31/19 22:35,good,pol,Low current
17987,8/31/19 22:38,good,pol,Low current
17988,8/31/19 22:40,good,pol,Low current
17989,8/31/19 22:43,good,pol,Low current
17990,8/31/19 22:45,good,pol,Low current
17991,8/31/19 22:47,good,pol,Low current
17992,8/31/19 22:51,good,pol,Low current
17993,8/31/19 22:53,good,pol,Low current
17994,8/31/19 22:55,good,pol,Low current
17995,8/31/19 22:57,good,pol,Low current
17996,8/31/19 22:59,good,pol,Low current
17997,8/31/19 23:02,good,pol,Low current
17998,8/31/19 23:05,good,pol,Low current
17999,8/31/19 23:07,good,pol,Low current
18000,8/31/19 23:09,good,pol,Low current
18001,8/31/19 23:12,good,pol,High current
18002,8/31/19 23:16,good,pol,High current
18003,8/31/19 23:19,good,pol,High current
18004,8/31/19 23:21,good,pol,High current
